Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,10/26/2024,03:30:00 PM,Estoril,Arouca,4,1,H,2,1,H,12,13,5,4,19,14,6,9,4,2,0,0,3.02,3.11,2.52,2.31,1.64,1.74,2.15
P1,10/26/2024,06:00:00 PM,Boavista,Moreirense,0,2,A,0,1,A,10,17,3,8,17,14,4,3,1,3,0,0,3.44,3.1,2.29,2.48,1.56,1.91,1.96
P1,10/26/2024,08:30:00 PM,Famalicao,Sp Lisbon,0,3,A,0,0,D,6,33,1,13,7,10,4,8,1,1,0,0,8.96,5.06,1.34,1.8,2.06,2.07,1.8
P1,10/27/2024,03:30:00 PM,Sp Braga,Farense,2,0,H,1,0,H,18,4,6,2,12,12,10,3,1,2,0,0,1.31,5.55,8.92,1.59,2.4,1.97,1.88
P1,10/27/2024,06:00:00 PM,Benfica,Rio Ave,5,0,H,3,0,H,29,4,14,0,12,10,8,2,1,1,0,0,1.17,7.58,13.67,1.45,2.71,1.9,1.93
P1,10/27/2024,08:30:00 PM,Estrela,Guimaraes,2,2,D,1,1,D,7,10,2,3,17,17,3,4,2,3,0,0,4.65,3.43,1.83,2.29,1.64,2.02,1.83
P1,10/28/2024,08:15:00 PM,AVS,Porto,0,5,A,0,4,A,5,12,1,7,8,11,2,3,2,1,0,0,10.2,5.45,1.29,1.78,2.06,1.92,1.93
P1,11/01/2024,08:15:00 PM,Sp Lisbon,Estrela,5,1,H,3,1,H,20,9,8,5,13,15,12,2,0,0,0,0,1.08,12.54,27.85,1.3,3.56,2.01,1.86
P1,11/02/2024,03:30:00 PM,Rio Ave,Casa Pia,2,2,D,2,2,D,13,10,5,2,14,19,3,2,3,3,0,0,2.21,3.24,3.45,2.26,1.67,1.91,1.96
P1,11/02/2024,06:00:00 PM,Farense,Benfica,1,2,A,1,1,D,9,18,4,7,10,5,3,8,1,0,0,0,12.39,6.87,1.2,1.42,2.82,1.85,2.01
P1,11/02/2024,08:30:00 PM,Gil Vicente,Boavista,1,2,A,0,0,D,17,13,2,5,14,11,7,2,3,2,0,0,1.65,3.76,5.5,2.13,1.73,1.86,2.01
P1,11/03/2024,03:30:00 PM,AVS,Famalicao,2,3,A,2,2,D,13,18,6,6,18,11,4,0,4,1,0,0,3.13,3.03,2.5,2.56,1.52,1.76,2.12
P1,11/03/2024,06:00:00 PM,Arouca,Sp Braga,1,2,A,0,1,A,13,16,3,3,10,15,12,4,3,2,0,0,4.51,3.89,1.74,1.75,2.11,1.89,1.96
P1,11/03/2024,06:00:00 PM,Guimaraes,Moreirense,1,0,H,0,0,D,10,9,4,2,17,16,9,4,0,1,0,0,1.7,3.53,5.43,2.38,1.59,1.95,1.9
P1,11/03/2024,08:30:00 PM,Porto,Estoril,4,0,H,2,0,H,16,12,9,5,7,9,9,5,0,2,0,0,1.14,8.38,17.08,1.45,2.74,2.01,1.83
P1,11/04/2024,08:15:00 PM,Nacional,Santa Clara,2,0,H,2,0,H,8,22,4,6,15,14,2,6,4,7,0,0,3.26,3.17,2.34,2.4,1.58,1.85,2
P1,11/08/2024,08:15:00 PM,Moreirense,Gil Vicente,3,2,H,0,1,A,12,11,8,5,19,22,3,4,2,5,0,0,2.39,2.97,3.6,2.61,1.53,2.01,1.89
P1,11/09/2024,03:30:00 PM,Casa Pia,Farense,1,1,D,1,1,D,13,8,2,3,13,16,4,2,4,3,0,0,1.97,3.3,4.15,2.27,1.66,1.98,1.88
P1,11/09/2024,03:30:00 PM,Estoril,AVS,0,0,D,0,0,D,9,11,2,2,13,14,10,6,2,0,0,0,2.29,3.08,3.45,2.33,1.63,1.96,1.91
P1,11/09/2024,06:00:00 PM,Famalicao,Arouca,0,0,D,0,0,D,6,9,2,1,19,13,4,8,5,3,0,0,1.91,3.27,4.48,2.36,1.61,1.93,1.94
P1,11/09/2024,08:30:00 PM,Boavista,Rio Ave,0,2,A,0,1,A,24,5,4,1,10,17,7,2,5,3,1,1,2.74,3.12,2.74,2.37,1.61,1.93,1.93
P1,11/10/2024,03:30:00 PM,Estrela,Nacional,2,0,H,0,0,D,17,15,3,4,10,12,10,4,1,1,0,0,2.25,3.27,3.34,2.16,1.71,1.93,1.92
P1,11/10/2024,04:30:00 PM,Santa Clara,Guimaraes,1,0,H,0,0,D,21,5,7,2,17,19,9,4,5,6,0,0,2.89,3.01,2.69,2.65,1.49,2,1.85
P1,11/10/2024,06:45:00 PM,Sp Braga,Sp Lisbon,2,4,A,2,0,H,3,13,2,6,20,13,0,5,5,4,0,0,5.5,4.15,1.58,1.61,2.36,1.88,1.97
P1,11/10/2024,08:45:00 PM,Benfica,Porto,4,1,H,1,1,D,16,8,7,3,10,13,2,2,2,6,0,0,2.1,3.38,3.58,1.98,1.86,1.82,2.05
P1,11/29/2024,08:15:00 PM,Farense,Estrela,1,0,H,1,0,H,11,13,2,3,20,19,3,6,4,2,0,0,2.23,3.24,3.61,2.34,1.65,1.91,2
P1,11/30/2024,03:30:00 PM,Rio Ave,Moreirense,3,2,H,1,0,H,12,11,4,2,15,17,2,4,3,3,0,0,2.96,3.02,2.63,2.39,1.6,2.06,1.82
P1,11/30/2024,06:00:00 PM,Nacional,Boavista,0,0,D,0,0,D,22,9,8,2,14,15,4,7,1,2,0,0,1.96,3.46,3.96,2.18,1.7,1.98,1.89
P1,11/30/2024,08:30:00 PM,Sp Lisbon,Santa Clara,0,1,A,0,1,A,21,4,4,3,9,18,8,2,2,8,0,0,1.15,8.03,16.06,1.65,2.26,1.99,1.87
P1,12/01/2024,03:30:00 PM,Estoril,Famalicao,2,1,H,2,1,H,12,7,4,1,19,18,5,7,2,4,0,0,3.43,3.12,2.28,2.45,1.56,1.91,1.94
